ACCOUNTID,CUSTOMERID,ACCOUNTTYPE,ACCOUNTSTATUS,OPENDATE,CLOSEDATE
10001,1,Savings,Active,2023-06-24,2024-11-13
10002,2,Savings,Dormant,2023-02-08,2024-11-13
10003,3,Savings,Dormant,2016-06-03,2024-11-13
10004,4,Savings,Dormant,2017-09-24,2024-11-13
10005,5,Savings,Active,2017-01-09,2024-11-13
10006,6,Checking,Dormant,2020-07-06,2024-11-13
10007,7,Savings,Active,2018-08-16,2024-11-13
10008,8,Savings,Dormant,2023-11-10,2024-11-13
10009,9,Checking,Active,2019-08-29,2024-11-13
10010,10,Savings,Dormant,2021-10-23,2024-11-13
10011,11,Savings,Dormant,2019-08-11,2024-11-13
10012,12,Checking,Active,2022-02-17,
10013,13,Savings,Active,2017-09-18,2024-11-13
10014,14,Checking,Active,2021-07-16,2024-11-13
10015,15,Checking,Active,2019-06-26,2024-11-13
10016,16,Checking,Active,2022-07-16,2024-11-13
10017,17,Checking,Active,2017-06-01,2024-11-13
10018,18,Savings,Dormant,2016-02-05,
10019,19,Savings,Dormant,2016-06-24,2024-11-13
10020,20,Savings,Dormant,2016-08-30,2024-11-13
10021,21,Savings,Dormant,2023-01-27,2024-11-13
10022,22,Savings,Active,2016-09-06,2024-11-13
10023,23,Savings,Active,2023-10-09,2024-11-13
10024,24,Checking,Dormant,2024-01-29,2024-11-13
10025,25,Checking,Active,2014-12-18,2024-11-13
10026,26,Savings,Active,2017-11-17,2024-11-13
10027,27,Checking,Dormant,2018-11-21,2024-11-13
10028,28,Checking,Dormant,2016-12-13,2024-11-13
10029,29,Checking,Dormant,2020-02-13,2024-11-13
10030,30,Savings,Active,2022-06-06,2024-11-13
10031,31,Checking,Active,2022-04-07,2024-11-13
10032,32,Checking,Dormant,2023-12-29,2024-11-13
10033,33,Savings,Active,2024-02-14,2024-11-13
10034,34,Savings,Active,2020-12-25,2024-11-13
10035,35,Checking,Dormant,2024-10-26,2024-11-13
10036,36,Savings,Dormant,2017-09-22,2024-11-13
10037,37,Savings,Active,2021-09-21,2024-11-13
10038,38,Savings,Dormant,2022-06-20,2024-11-13
10039,39,Savings,Active,2021-12-15,2024-11-13
10040,40,Savings,Dormant,2016-11-13,
10041,41,Checking,Active,2018-09-08,2024-11-13
10042,42,Checking,Dormant,2023-08-26,2024-11-13
10043,43,Savings,Dormant,2016-08-23,2024-11-13
10044,44,Checking,Active,2019-07-16,2024-11-13
10045,45,Checking,Dormant,2018-04-09,2024-11-13
10046,46,Savings,Dormant,2016-09-08,2024-11-13
10047,47,Savings,Dormant,2020-05-29,2024-11-13
10048,48,Checking,Dormant,2017-07-02,2024-11-13
10049,49,Checking,Active,2020-08-10,2024-11-13
10050,50,Savings,Dormant,2015-05-30,2024-11-13
10051,51,Savings,Active,2021-05-14,2024-11-13
10052,52,Checking,Active,2020-05-25,2024-11-13
10053,53,Savings,Dormant,2021-07-26,2024-11-13
10054,54,Savings,Active,2017-05-22,2024-11-13
10055,55,Savings,Active,2022-11-28,2024-11-13
