AccountID,CustomerID,AccountType,AccountStatus,OpenDate,CloseDate
1,11220,Savings,Active,2022-10-12,2024-11-11
2,9743,Savings,Dormant,2024-10-18,2024-11-11
3,11079,Savings,Active,2021-02-25,2024-11-11
4,955,Savings,Dormant,2016-01-04,2024-11-11
5,11533,Savings,Active,2018-01-26,2024-11-11
6,13220,Checking,Active,2021-12-11,2024-11-11
7,13578,Checking,Active,2019-03-09,
8,7855,Checking,Active,2018-04-29,2024-11-11
9,9769,Savings,Active,2017-07-11,2024-11-11
10,8554,Savings,Active,2017-02-06,2024-11-11
11,8157,Savings,Dormant,2016-09-19,2024-11-11
12,4867,Checking,Dormant,2018-09-05,2024-11-11
13,4917,Savings,Dormant,2020-11-11,2024-11-11
14,6374,Savings,Active,2017-12-18,2024-11-11
15,11684,Checking,Active,2016-02-14,2024-11-11
16,4662,Savings,Active,2018-12-25,2024-11-11
17,7230,Checking,Active,2021-03-24,
18,12740,Checking,Dormant,2019-04-09,2024-11-11
19,6618,Savings,Active,2015-02-05,2024-11-11
20,10381,Checking,Active,2018-12-15,
21,687,Checking,Active,2018-03-30,2024-11-11
22,548,Checking,Active,2016-01-06,2024-11-11
23,6964,Savings,Dormant,2021-06-03,2024-11-11
24,6927,Savings,Active,2016-03-08,2024-11-11
25,6372,Savings,Dormant,2020-06-03,
26,5401,Savings,Active,2019-12-27,2024-11-11
27,2353,Checking,Dormant,2018-02-24,2024-11-11
28,2751,Checking,Active,2023-11-29,2024-11-11
29,6074,Checking,Dormant,2020-04-22,2024-11-11
30,3005,Checking,Dormant,2022-10-25,2024-11-11
31,12458,Checking,Active,2023-02-16,2024-11-11
32,3877,Checking,Active,2015-12-09,2024-11-11
33,14991,Checking,Dormant,2019-01-15,2024-11-11
34,4114,Savings,Active,2021-08-31,2024-11-11
35,3049,Checking,Dormant,2016-01-14,2024-11-11
36,8780,Savings,Active,2018-08-26,2024-11-11
37,2811,Checking,Active,2019-09-25,2024-11-11
38,14177,Checking,Active,2018-11-11,2024-11-11
39,12742,Checking,Active,2021-05-25,
40,1342,Savings,Dormant,2017-08-16,2024-11-11
41,3078,Checking,Active,2019-08-07,2024-11-11
42,7866,Checking,Active,2018-11-14,
43,12347,Savings,Active,2022-10-14,2024-11-11
44,10189,Checking,Dormant,2023-08-27,2024-11-11
45,10775,Checking,Active,2020-09-11,2024-11-11
46,845,Savings,Dormant,2022-05-12,2024-11-11
47,4004,Savings,Dormant,2015-03-20,
48,5306,Checking,Dormant,2019-02-07,2024-11-11
49,10073,Checking,Dormant,2014-12-20,2024-11-11
50,1859,Savings,Dormant,2016-12-27,2024-11-11
51,8301,Savings,Dormant,2020-09-10,2024-11-11
52,14001,Savings,Active,2022-01-19,2024-11-11
53,1221,Checking,Dormant,2018-12-20,2024-11-11
54,1955,Savings,Active,2016-07-04,2024-11-11
55,13831,Checking,Active,2024-11-07,2024-11-11
56,2774,Checking,Dormant,2020-08-21,2024-11-11
57,354,Checking,Dormant,2015-07-17,2024-11-11
58,2619,Checking,Dormant,2018-09-09,2024-11-11
59,5966,Savings,Dormant,2019-09-13,
60,14348,Checking,Dormant,2020-09-22,2024-11-11
61,226,Checking,Active,2020-04-23,
62,13590,Checking,Dormant,2023-12-30,2024-11-11
63,10694,Checking,Dormant,2024-07-31,
64,3387,Checking,Active,2022-06-17,2024-11-11
65,12074,Checking,Dormant,2018-06-02,2024-11-11
66,9135,Savings,Dormant,2023-12-30,2024-11-11
67,4084,Savings,Dormant,2015-08-13,2024-11-11
68,1136,Checking,Dormant,2023-08-08,2024-11-11
69,14213,Savings,Active,2024-04-01,2024-11-11
70,734,Checking,Active,2018-03-30,2024-11-11
71,7810,Checking,Active,2015-11-21,2024-11-11
72,1738,Checking,Active,2023-06-01,2024-11-11
73,8758,Checking,Active,2019-10-21,2024-11-11
74,8415,Savings,Active,2015-03-18,2024-11-11
75,7273,Savings,Dormant,2019-12-26,2024-11-11
76,7051,Checking,Active,2021-07-14,2024-11-11
77,2047,Savings,Active,2015-06-10,2024-11-11
78,7531,Checking,Active,2014-12-18,2024-11-11
79,8449,Checking,Dormant,2019-05-18,2024-11-11
80,9786,Checking,Active,2021-04-05,
81,3866,Checking,Dormant,2024-09-28,2024-11-11
82,2542,Checking,Dormant,2022-04-06,2024-11-11
83,1437,Savings,Dormant,2023-12-09,2024-11-11
84,8161,Checking,Dormant,2015-01-25,2024-11-11
85,10103,Savings,Active,2021-07-06,2024-11-11
86,1767,Savings,Active,2024-04-02,2024-11-11
87,5585,Savings,Dormant,2021-09-23,2024-11-11
88,14395,Checking,Dormant,2016-08-23,2024-11-11
89,5876,Savings,Active,2021-12-13,
90,12778,Savings,Dormant,2018-05-21,2024-11-11
91,5908,Savings,Active,2017-08-24,2024-11-11
92,3108,Checking,Dormant,2016-11-21,
93,9851,Checking,Dormant,2023-12-09,2024-11-11
94,14244,Savings,Active,2021-05-03,2024-11-11
95,5059,Savings,Active,2024-02-06,
96,10649,Savings,Active,2023-02-03,2024-11-11
97,973,Checking,Dormant,2015-02-09,2024-11-11
98,6463,Checking,Dormant,2021-04-08,2024-11-11
99,11675,Savings,Dormant,2021-12-13,2024-11-11
100,3356,Checking,Dormant,2024-04-09,2024-11-11
101,4031,Savings,Active,2022-01-14,2024-11-11
102,13013,Savings,Active,2020-09-01,2024-11-11
103,3168,Savings,Dormant,2018-05-31,2024-11-11
104,299,Checking,Dormant,2017-11-03,2024-11-11
105,7161,Savings,Dormant,2019-12-22,2024-11-11
106,8153,Checking,Active,2024-09-05,2024-11-11
107,14819,Checking,Active,2020-04-09,2024-11-11
108,1189,Checking,Active,2014-11-11,2024-11-11
109,233,Savings,Dormant,2021-11-19,2024-11-11
110,2970,Savings,Dormant,2017-04-07,2024-11-11
111,13416,Savings,Dormant,2015-06-29,2024-11-11
112,12375,Savings,Active,2020-03-23,2024-11-11
113,2872,Checking,Dormant,2019-04-13,2024-11-11
114,5316,Checking,Active,2017-11-04,
115,4349,Savings,Dormant,2019-12-23,2024-11-11
116,8455,Checking,Dormant,2020-05-18,2024-11-11
117,4554,Savings,Dormant,2021-12-23,2024-11-11
118,1186,Savings,Dormant,2015-08-13,2024-11-11
119,3181,Savings,Dormant,2016-12-06,2024-11-11
120,4904,Savings,Dormant,2024-01-30,2024-11-11
121,14668,Savings,Dormant,2020-01-06,2024-11-11
122,9300,Savings,Dormant,2021-03-29,2024-11-11
123,4010,Savings,Dormant,2023-02-22,2024-11-11
124,5023,Savings,Active,2021-07-23,2024-11-11
125,12525,Savings,Dormant,2024-06-12,2024-11-11
126,7295,Checking,Dormant,2022-12-25,2024-11-11
127,11210,Checking,Dormant,2016-07-31,2024-11-11
128,6326,Savings,Dormant,2022-02-18,2024-11-11
129,4257,Savings,Dormant,2024-06-16,
130,1434,Savings,Active,2022-04-08,2024-11-11
131,2248,Checking,Dormant,2021-11-02,2024-11-11
132,12146,Checking,Active,2018-11-03,2024-11-11
133,114,Checking,Active,2015-08-12,2024-11-11
134,12958,Savings,Dormant,2018-10-29,
135,13570,Checking,Active,2021-10-14,2024-11-11
136,12642,Checking,Dormant,2020-03-09,2024-11-11
137,5116,Savings,Dormant,2016-12-26,2024-11-11
138,5088,Savings,Dormant,2023-06-26,2024-11-11
