DATEID,DATE,YEAR,MONTH,QUARTER,DAYOFWEEK
1,2021-01-01,2021,1,1,4
2,2021-01-02,2021,1,1,5
3,2021-01-03,2021,1,1,6
4,2021-01-04,2021,1,1,0
5,2021-01-05,2021,1,1,1
6,2021-01-06,2021,1,1,2
7,2021-01-07,2021,1,1,3
8,2021-01-08,2021,1,1,4
9,2021-01-09,2021,1,1,5
10,2021-01-10,2021,1,1,6
11,2021-01-11,2021,1,1,0
12,2021-01-12,2021,1,1,1
13,2021-01-13,2021,1,1,2
14,2021-01-14,2021,1,1,3
15,2021-01-15,2021,1,1,4
16,2021-01-16,2021,1,1,5
17,2021-01-17,2021,1,1,6
18,2021-01-18,2021,1,1,0
19,2021-01-19,2021,1,1,1
20,2021-01-20,2021,1,1,2
21,2021-01-21,2021,1,1,3
22,2021-01-22,2021,1,1,4
23,2021-01-23,2021,1,1,5
24,2021-01-24,2021,1,1,6
25,2021-01-25,2021,1,1,0
26,2021-01-26,2021,1,1,1
27,2021-01-27,2021,1,1,2
28,2021-01-28,2021,1,1,3
29,2021-01-29,2021,1,1,4
30,2021-01-30,2021,1,1,5
31,2021-01-31,2021,1,1,6
32,2021-02-01,2021,2,1,0
33,2021-02-02,2021,2,1,1
34,2021-02-03,2021,2,1,2
35,2021-02-04,2021,2,1,3
36,2021-02-05,2021,2,1,4
37,2021-02-06,2021,2,1,5
38,2021-02-07,2021,2,1,6
39,2021-02-08,2021,2,1,0
40,2021-02-09,2021,2,1,1
41,2021-02-10,2021,2,1,2
42,2021-02-11,2021,2,1,3
43,2021-02-12,2021,2,1,4
44,2021-02-13,2021,2,1,5
45,2021-02-14,2021,2,1,6
46,2021-02-15,2021,2,1,0
47,2021-02-16,2021,2,1,1
48,2021-02-17,2021,2,1,2
49,2021-02-18,2021,2,1,3
50,2021-02-19,2021,2,1,4
51,2021-02-20,2021,2,1,5
52,2021-02-21,2021,2,1,6
53,2021-02-22,2021,2,1,0
54,2021-02-23,2021,2,1,1
55,2021-02-24,2021,2,1,2
56,2021-02-25,2021,2,1,3
57,2021-02-26,2021,2,1,4
58,2021-02-27,2021,2,1,5
59,2021-02-28,2021,2,1,6
60,2021-03-01,2021,3,1,0
61,2021-03-02,2021,3,1,1
62,2021-03-03,2021,3,1,2
63,2021-03-04,2021,3,1,3
64,2021-03-05,2021,3,1,4
65,2021-03-06,2021,3,1,5
66,2021-03-07,2021,3,1,6
67,2021-03-08,2021,3,1,0
68,2021-03-09,2021,3,1,1
69,2021-03-10,2021,3,1,2
70,2021-03-11,2021,3,1,3
71,2021-03-12,2021,3,1,4
72,2021-03-13,2021,3,1,5
73,2021-03-14,2021,3,1,6
74,2021-03-15,2021,3,1,0
75,2021-03-16,2021,3,1,1
76,2021-03-17,2021,3,1,2
77,2021-03-18,2021,3,1,3
78,2021-03-19,2021,3,1,4
79,2021-03-20,2021,3,1,5
80,2021-03-21,2021,3,1,6
81,2021-03-22,2021,3,1,0
82,2021-03-23,2021,3,1,1
83,2021-03-24,2021,3,1,2
84,2021-03-25,2021,3,1,3
85,2021-03-26,2021,3,1,4
86,2021-03-27,2021,3,1,5
87,2021-03-28,2021,3,1,6
88,2021-03-29,2021,3,1,0
89,2021-03-30,2021,3,1,1
90,2021-03-31,2021,3,1,2
91,2021-04-01,2021,4,2,3
92,2021-04-02,2021,4,2,4
93,2021-04-03,2021,4,2,5
94,2021-04-04,2021,4,2,6
95,2021-04-05,2021,4,2,0
96,2021-04-06,2021,4,2,1
97,2021-04-07,2021,4,2,2
98,2021-04-08,2021,4,2,3
99,2021-04-09,2021,4,2,4
100,2021-04-10,2021,4,2,5
101,2021-04-11,2021,4,2,6
102,2021-04-12,2021,4,2,0
103,2021-04-13,2021,4,2,1
104,2021-04-14,2021,4,2,2
105,2021-04-15,2021,4,2,3
106,2021-04-16,2021,4,2,4
107,2021-04-17,2021,4,2,5
108,2021-04-18,2021,4,2,6
109,2021-04-19,2021,4,2,0
110,2021-04-20,2021,4,2,1
111,2021-04-21,2021,4,2,2
112,2021-04-22,2021,4,2,3
113,2021-04-23,2021,4,2,4
114,2021-04-24,2021,4,2,5
115,2021-04-25,2021,4,2,6
116,2021-04-26,2021,4,2,0
117,2021-04-27,2021,4,2,1
118,2021-04-28,2021,4,2,2
119,2021-04-29,2021,4,2,3
120,2021-04-30,2021,4,2,4
121,2021-05-01,2021,5,2,5
122,2021-05-02,2021,5,2,6
