TRANSACTIONID,CUSTOMERID,ACCOUNTID,TRANSACTIONTYPEID,BRANCHID,DATEID,AMOUNT,BALANCEAFTERTRANSACTION
1,3286,13286,1,58,1070,2341.33,10613.07
2,12020,6287,3,90,881,1052.68,11043.84
3,6835,16835,1,60,635,3535.22,12069.79
4,7312,17312,2,16,917,4748.91,3256.9
5,7572,6333,3,24,373,3991.8,7693.39
6,2177,12177,2,35,746,3445.65,1694.97
7,1481,11481,2,38,285,1217.19,5693.45
8,8798,3695,3,35,277,1040.29,18894.53
9,6535,16535,1,95,296,4327.05,12124.6
11,3722,6019,3,89,586,3305.49,18990.41
12,1992,11992,2,70,626,843.8,8802.12
13,1247,6394,3,69,1077,3914.07,16956.56
14,13989,23989,1,27,162,1081.38,12386.04
15,1617,2042,3,64,980,390.58,4882.72
16,13437,23437,1,15,921,2351.42,5873.44
17,9737,5910,3,69,656,448.74,1206.34
18,1213,11213,1,23,541,1983.02,18405.17
19,5855,15855,1,99,835,3908.37,11583.96
20,4393,9518,3,12,917,3762.54,14311.27
21,8464,18464,2,87,954,2913.15,16360.81
22,1055,3686,3,17,923,387.39,10508.48
23,5974,25366,2,21,999,926.75,3915.57
24,4043,2779,3,93,933,4945.53,11430.16
25,1582,11582,1,51,910,1189.91,17490.42
26,1435,11435,2,83,677,858.34,16561.4
28,8307,9737,3,78,761,509.92,9175.89
29,462,10462,2,35,550,1667.28,16376.74
30,11310,21310,1,79,501,4237.01,5672.25
31,4473,14473,1,32,464,1947.24,12620.66
32,9491,19491,2,19,828,1610.21,1365.72
33,8231,18231,1,68,289,552.54,17167.61
34,13677,6976,3,44,872,830.59,7576.35
35,5426,1125,3,6,995,3982.86,12940.43
36,8018,18018,2,72,857,1096.76,9630.79
37,14460,24460,2,26,850,1315.53,15644.23
38,5303,15303,2,24,841,4998.97,19556.04
39,7751,17751,2,100,951,1853.75,17975.64
40,7835,17835,1,45,972,826.26,5620.88
41,11406,21406,2,1,721,1223.29,15169.37
42,444,9787,3,46,824,2665.92,6070.87
43,3344,13344,1,91,32,3000.67,2740.43
44,692,3715,3,78,621,3022.78,7500.32
45,7252,17252,1,2,824,2836.6,19302.75
47,10418,2346,3,43,28,2971.27,3652.03
48,12408,4427,3,71,884,1172.34,4422.12
49,1383,11383,2,80,30,2672.26,5198.66
50,14578,4700,3,36,773,290.72,17057.66
51,12392,22392,2,86,946,3729.94,15452.23
52,8796,18796,2,79,315,4137.1,643.14
53,9909,6393,3,91,513,3301.68,14544.37
54,9467,19467,2,58,474,3970.65,19739.64
55,1757,11757,2,78,459,702.75,14880.02
56,4961,14961,2,97,738,2105.45,11513.11
57,5419,15419,2,99,956,1885.5,9473.37
58,2835,12835,2,30,859,4781.82,3816.88
59,34,10034,2,1,232,760.14,776.72
60,4183,14183,2,73,618,2956.47,1278.29
61,5354,15354,1,73,93,3016.67,2328.25
62,12640,7019,3,33,24,1993.21,17307.48
63,6666,16666,1,60,704,1074.88,6567.41
64,13091,23091,1,78,109,827.83,12819.97
65,7360,17360,1,57,541,767.59,11295.22
66,5407,15407,2,50,29,4940.14,8186.66
67,6300,16300,2,12,422,4776.71,11317.94
68,9859,2290,3,91,1058,4947.98,8023.25
69,9880,19880,1,87,900,1582.63,19845.24
70,7542,17542,1,8,500,2663.65,11893.28
71,7175,3058,3,5,796,3080.36,19862.8
72,3088,13088,2,63,541,1003.52,825.6
73,10588,20588,1,96,663,622.09,9014.85
74,9492,19492,1,42,1064,3196.74,9260.94
76,1360,11360,1,55,96,1408.26,3862.7
77,12409,3605,3,50,428,834.6,12060.36
78,1721,11721,1,54,418,1046.04,5429.31
80,4825,14825,2,67,891,3928.98,6993.02
81,4576,14576,2,47,1058,3388.48,8064.44
82,13762,22,3,89,995,4042.74,12132.65
83,6183,16183,1,37,659,2049.88,15069.84
84,10358,3763,3,65,329,4289.49,14618.41
85,10472,20472,1,92,544,4937.36,15405.67
86,1784,11784,2,85,154,3722.96,10484.44
87,6390,16390,1,28,462,2155.66,1749.72
88,9963,19963,2,26,756,4508.41,9767.18
89,9499,19499,2,30,477,2208.86,17930.26
90,3865,13865,1,51,1080,903.02,15811.24
91,12321,7040,3,14,1086,4204.07,19351.28
92,14509,7067,3,53,49,2965.22,12623.48
94,1223,756,3,56,1038,2016.12,3537.96
95,3737,13737,2,65,93,1356.6,7206.68
96,8865,9524,3,13,298,3793.21,2890.79
97,12642,22642,1,3,846,2713.43,1356.3
98,14676,24676,1,68,703,2833.76,18202.99
99,4162,14162,2,38,1018,4660.65,14958.77
101,6233,16233,2,36,784,4232.93,13569.71
102,9067,19067,2,75,302,1542.65,1877.34
103,2876,12876,1,78,670,3600.45,7685.09
104,11872,9119,3,58,708,2461.75,5076.51
105,9589,19589,1,64,834,4892.89,5217.97
106,429,10429,2,66,1068,4694.06,3176.48
107,12862,25471,1,80,445,1169.47,15217.92
108,2442,4091,3,57,1051,2436.85,15515.68
109,6910,16910,2,74,408,3640.14,10781.91
110,2928,7496,3,14,25,3924.81,18949.0
111,12432,5669,3,14,942,4737.9,5365.22
112,11794,21794,2,93,1049,1901.48,5938.27
113,10776,20776,2,67,1001,1580.26,14968.53
114,13534,23534,1,75,899,3475.69,6423.46
115,10452,20452,1,84,1031,3309.95,3422.57
116,7053,4709,3,42,38,1703.6,13446.77
117,1336,11336,2,86,1087,3284.25,1670.44
119,1311,11311,1,16,860,3283.38,522.19
120,1145,11145,1,64,1091,899.05,11004.04
121,232,1794,3,81,526,431.55,3818.84
122,11087,21087,1,65,1086,2187.5,11678.39
123,4963,25871,1,5,282,243.02,14005.67
124,10692,25759,2,63,1088,4199.68,13758.29
125,9944,19944,1,8,762,1699.74,6266.24
126,12371,748,3,63,1074,1442.19,13652.58
127,8324,18324,2,79,985,721.23,17303.37
128,5360,15360,1,85,1070,2792.37,5832.08
129,14047,24047,2,55,799,3732.85,14019.35
130,5049,8397,3,5,144,4163.79,5777.26
131,13421,3958,3,37,1077,1796.51,17509.33
132,11536,8088,3,13,632,1386.73,2075.6
135,3934,13934,1,31,1075,4261.9,11390.96
136,4459,2665,3,34,307,1001.25,12463.41
137,14643,5043,3,5,1023,1912.28,14929.15
138,2766,9903,3,51,670,1798.15,6019.35
139,3137,5823,3,45,285,3028.38,17216.97
140,10081,20081,1,20,329,3998.97,4318.34
141,14087,24087,1,82,489,3361.76,18046.86
142,7314,17314,1,31,418,1718.16,16134.66
143,7369,17369,1,23,76,680.43,4520.12
144,12284,22284,1,5,973,135.7,8600.83
145,10582,20582,2,1,809,2835.85,17498.91
146,10196,4703,3,57,333,404.89,14134.52
147,757,10757,2,24,190,3385.45,9676.08
148,12545,22545,2,6,634,779.08,11769.91
149,4954,14954,1,9,921,1043.64,2711.33
150,11922,21922,1,83,496,2894.11,2670.12
151,7439,17439,2,37,49,4790.83,16210.05
152,5578,511,3,98,1036,2774.18,2408.09
153,2750,12750,1,22,553,3450.79,15808.82
154,2893,6391,3,39,380,3767.89,16680.16
155,7488,25426,2,15,389,4230.91,2306.72
156,11812,21812,1,53,422,4337.21,5486.82
159,3578,3038,3,16,1057,1753.57,18837.93
161,14371,24371,2,58,339,1066.45,15547.68
162,14446,24446,1,11,372,4753.2,10075.45
163,9515,4605,3,51,976,627.48,17797.06
164,11432,21432,1,73,179,4964.53,19533.41
165,3613,13613,1,85,994,1953.78,6828.03
166,12523,22523,1,6,602,3781.08,9217.0
167,13346,23346,2,46,1022,2216.25,18195.46
169,5646,1261,3,76,268,2276.72,14484.02
170,8134,9795,3,98,938,1280.56,4207.23
171,11395,21395,2,37,1083,3189.73,725.73
173,7108,17108,2,61,874,2518.47,6802.57
174,8037,18037,2,13,731,928.93,10594.43
175,2643,12643,2,95,579,3683.33,14413.51
176,3935,13935,2,92,247,1041.95,9873.86
177,12908,22908,2,27,475,3487.71,6794.93
178,8000,7966,3,31,1068,293.93,16164.28
179,9814,19814,1,68,667,4661.54,2248.36
180,3023,13023,1,31,843,2839.12,10489.61
181,1395,11395,1,67,39,1519.23,16299.16
182,4025,6562,3,8,464,4820.54,13801.07
183,6849,3656,3,67,762,4692.82,17496.15
185,13630,23630,1,43,394,4941.44,5801.38
186,6577,3281,3,25,33,3550.42,11149.15
187,1144,11144,2,71,951,3501.79,1914.02
188,2957,4950,3,55,786,3486.54,12445.23
189,5690,15690,2,98,496,4930.06,19023.93
190,725,10725,2,82,1046,3153.31,15803.86
191,4996,14996,2,49,499,3588.71,19314.77
192,2585,12585,2,17,870,1669.78,14334.88
193,14593,25863,2,5,1046,726.04,18360.01
194,10939,508,3,66,740,1489.11,13299.29
195,8541,18541,1,47,82,3258.89,16211.34
196,13060,7275,3,39,1063,4950.1,9811.52
197,13758,4405,3,4,957,307.1,9507.82
198,1090,3312,3,90,673,719.95,5399.53
199,6206,7708,3,9,1078,934.89,14054.74
201,10216,20216,2,36,990,4430.24,6645.71
202,9229,5577,3,37,1065,4420.94,8386.18
203,7371,17371,2,19,770,4517.4,1512.85
204,2509,12509,2,100,568,3086.17,12769.94
205,310,10310,2,25,1026,4711.2,14349.84
206,285,10285,1,99,437,3475.83,9429.54
207,13374,5176,3,54,1009,1015.61,4025.9
208,8476,18476,1,82,738,3666.23,17840.22
209,4496,14496,2,66,902,3996.36,2258.69
210,9622,19622,1,52,642,589.76,17269.98
211,2335,8102,3,29,796,754.95,13050.09
213,2798,12798,1,32,315,1695.06,12108.42
214,5724,6851,3,16,843,3877.51,9781.11
215,2937,12937,2,50,79,2058.15,18781.84
216,13123,6230,3,80,896,1453.2,2781.86
218,8927,18927,2,85,1054,1773.17,14197.31
219,2303,12303,1,23,208,1722.17,5227.12
221,4232,14232,1,15,383,1166.82,19223.05
222,10148,632,3,41,819,1315.3,19091.94
223,6923,9500,3,48,653,2950.77,2888.47
224,6684,9316,3,4,23,193.69,10133.16
225,13150,23150,1,86,619,1327.76,18427.99
226,1811,11811,2,62,290,820.23,3928.82
227,11229,21229,2,81,680,964.4,5904.07
228,10309,25071,1,50,606,4297.07,2074.4
229,7720,17720,2,98,930,891.67,10489.02
230,14678,2033,3,47,1028,492.44,2355.55
231,8385,8709,3,61,271,4491.44,551.95
232,12603,22603,1,1,991,2040.73,2211.27
234,3872,6206,3,57,689,3062.27,2775.58
235,6389,16389,2,70,95,3534.52,16541.06
236,3673,13673,1,9,441,2786.41,13324.95
237,205,5141,3,12,660,1126.41,7316.86
238,4986,1623,3,19,873,2576.7,17319.66
239,4562,14562,2,77,770,3369.74,2738.45
240,4012,14012,1,77,498,1453.44,14152.04
241,5686,15686,2,71,434,4980.5,11453.42
242,9993,5059,3,57,449,1010.65,5148.15
244,1802,11802,2,29,801,1879.41,15368.73
245,505,4172,3,9,267,936.85,13193.56
246,6825,1813,3,44,753,66.64,1685.96
247,7281,17281,2,31,1027,3796.83,16129.85
248,10527,20527,1,21,831,4916.78,15472.04
249,7658,3620,3,49,357,2100.61,14651.77
250,3672,297,3,85,941,4019.26,14943.98
251,12458,9944,3,97,214,1272.54,6199.1
252,5783,9666,3,5,420,2083.96,12393.77
253,14727,7719,3,61,1025,3663.42,5752.66
254,13045,23045,1,18,1067,1974.68,15001.33
255,5273,4176,3,88,122,1642.96,15700.09
256,12532,22532,2,23,900,2952.42,978.08
257,6654,16654,1,13,707,2413.56,18007.77
258,12793,22793,2,7,122,4339.17,11441.86
259,4902,14902,1,38,990,4140.92,19746.62
260,5511,15511,2,40,1076,4755.42,9958.34
261,4690,14690,1,32,994,1103.22,5981.47
262,2169,12169,1,6,1055,4107.74,4281.86
263,10946,20946,1,53,245,1099.21,845.84
264,4764,14764,2,74,1081,2943.3,12989.07
265,9719,3647,3,74,268,4654.27,6772.71
266,6371,8043,3,67,961,827.54,670.65
267,13815,23815,2,46,675,1688.24,10641.92
268,5255,15255,2,94,983,2951.28,11025.48
269,14462,24462,2,82,672,4080.81,1394.57
270,14066,8147,3,52,747,719.18,586.57
271,13246,23246,1,37,1018,388.24,768.17
273,7581,17581,1,42,478,4420.13,2376.72
274,9791,19791,2,36,636,2115.55,16662.41
275,4532,14532,2,11,1046,4707.48,1135.64
276,1038,11038,2,50,693,3608.48,11688.08
277,14600,4126,3,14,564,3204.69,6931.73
278,3490,3878,3,15,1020,1404.69,13652.11
279,5662,15662,1,38,41,1367.78,2738.49
280,8781,18781,1,52,270,3089.64,19006.1
281,4852,14852,2,69,179,2231.51,6583.2
282,11427,674,3,7,839,4192.54,11996.5
283,14178,7867,3,20,325,4601.63,4023.22
284,10312,20312,2,95,763,3471.63,15762.77
285,13284,23284,2,97,999,1001.14,14580.21
286,11639,21639,1,91,842,3602.54,14170.7
287,12198,22198,2,7,813,2008.4,3951.48
288,1259,11259,1,57,541,2895.26,6358.21
289,9455,19455,1,26,255,1082.97,13312.36
290,10827,7983,3,5,1013,225.83,16383.28
291,11989,21989,2,48,935,4256.35,1589.18
292,11915,21915,2,34,771,2112.01,6838.36
293,11590,4386,3,44,616,2506.61,1150.6
294,14768,4441,3,19,1018,3799.76,10690.21
295,3747,6133,3,89,667,2804.55,19951.42
296,5454,8831,3,89,611,3832.26,10097.42
297,11123,9368,3,64,390,137.59,8427.34
298,9074,19074,2,20,834,850.64,15024.61
299,7178,17178,1,70,1022,2584.07,13280.41
300,3326,13326,2,67,460,1709.8,18824.7
301,5960,15960,2,49,730,406.26,15811.59
302,11002,21002,2,3,947,1328.32,5060.57
303,13019,23019,2,7,661,1213.48,14236.08
304,12351,22351,2,43,491,2003.65,5541.95
305,826,3698,3,51,787,1543.06,18773.41
306,13537,1419,3,41,893,754.14,13709.16
307,8069,18069,1,85,856,2650.86,13717.54
309,3489,13489,1,51,974,4687.75,3767.4
310,3182,3388,3,41,332,2614.36,8910.41
311,13439,23439,2,21,323,4235.52,11575.47
313,13023,5009,3,33,627,4800.75,10202.52
316,8782,18782,1,81,76,2559.41,12687.48
318,3836,9686,3,55,464,201.68,19717.24
319,13932,3945,3,70,530,2295.51,9996.05
320,3225,4696,3,75,1055,3204.76,11299.29
321,4254,7928,3,16,649,2092.18,9648.67
322,10392,20392,1,98,926,920.84,8128.06
323,2355,12355,2,18,108,2728.47,15774.81
324,11289,3455,3,31,891,1672.86,9088.05
325,13078,907,3,84,502,189.18,1061.16
327,10431,20431,1,27,939,1839.66,2286.98
328,12069,8399,3,99,634,1813.71,15175.47
329,823,10823,1,65,353,2819.83,8671.19
330,9598,6174,3,26,978,210.15,5091.55
331,2746,12746,2,38,276,594.81,14334.22
332,13063,3130,3,58,1018,4202.15,9290.3
333,161,9797,3,6,794,1423.63,2375.88
334,7369,17369,2,51,102,2989.52,4033.17
335,963,10963,2,87,117,1750.52,3053.06
336,3166,7850,3,46,1034,3075.85,16186.14
337,4665,14665,1,70,824,3562.26,12647.51
338,12158,22158,1,24,1069,2462.14,15141.84
340,930,926,3,7,138,3260.61,7142.58
341,11485,21485,1,28,993,4440.78,15490.2
342,997,10997,2,71,63,330.15,12100.31
343,5285,15285,2,37,424,4162.94,5338.49
344,8628,18628,2,13,800,1380.12,10752.51
345,62,6220,3,33,172,4330.19,13649.52
346,5718,15718,1,68,226,3742.71,9341.76
347,9843,19843,2,13,1063,2127.42,13904.51
348,2629,12629,2,33,290,3184.63,16578.76
349,4997,2912,3,59,1053,4587.94,12162.3
350,9165,19165,2,29,981,509.3,18426.65
351,1138,11138,1,60,117,556.45,12432.22
352,491,9838,3,38,672,2535.7,16988.23
354,13042,23042,1,84,1077,4313.21,9017.1
355,4984,14984,1,51,268,2043.49,8790.61
357,12782,9945,3,28,48,3023.89,7532.12
358,14177,24177,2,6,144,1975.55,11340.69
359,1189,25077,1,59,694,3582.26,15610.66
360,14921,24921,1,31,1048,4916.64,4436.06
361,10851,20851,2,39,862,1545.83,9431.31
363,3115,13115,2,23,967,1529.79,1250.76
364,6350,6427,3,100,702,1884.06,15570.85
365,11343,21343,2,72,1066,3650.62,18687.57
366,7891,447,3,73,1068,368.99,9971.98
367,7444,17444,2,37,992,3182.43,5605.33
368,11586,21586,1,67,470,2966.35,6960.06
369,2866,12866,1,26,386,3310.09,8242.84
370,996,10996,1,1,963,513.19,9908.22
371,9041,7703,3,96,1077,4859.74,8054.4
372,12611,22611,1,36,31,3411.21,3151.58
373,12889,22889,1,14,1091,436.26,17452.37
374,8342,18342,1,81,205,4546.45,7718.67
375,4337,5483,3,8,1073,1044.18,14041.68
376,1009,2830,3,17,1053,3343.87,16332.16
377,12669,22669,2,3,421,689.74,3015.49
378,6409,16409,1,12,718,4757.74,6453.98
379,11956,21956,2,59,638,911.76,1098.62
381,12058,1471,3,33,103,1970.56,13385.15
382,1459,11459,2,29,413,2148.79,7883.68
383,7994,17994,1,41,976,1649.1,17207.72
384,13200,23200,2,62,1009,1017.5,4453.7
385,9082,19082,2,26,789,2414.97,575.2
386,2616,2517,3,69,892,3228.02,3029.98
387,13431,23431,2,71,976,3347.6,4948.23
388,12246,22246,1,83,1000,3784.22,6220.58
389,2214,12214,2,25,430,3862.09,4978.47
390,3336,9200,3,71,483,1984.48,5829.3
391,6434,16434,1,26,505,2856.86,9611.87
392,9282,5468,3,80,766,1950.0,3003.72
393,12212,22212,2,44,957,275.92,15900.52
394,3391,13391,1,39,778,2796.76,8020.59
395,8136,18136,1,19,1070,1389.16,11577.0
396,13805,23805,1,91,166,2001.24,15280.31
397,10835,20835,1,95,959,2767.97,4558.17
398,4455,6350,3,67,831,2801.33,14835.7
399,6873,5168,3,2,1001,4724.82,3968.8
401,6365,16365,1,74,710,4929.68,10971.93
402,10336,20336,1,13,1086,663.27,8946.17
403,7231,3457,3,37,719,3565.38,6990.01
404,2479,12479,2,6,904,4628.16,4519.61
405,7946,17946,1,74,211,3021.09,4611.53
406,7130,17130,1,36,922,1061.89,5757.28
407,114,10114,1,13,354,430.26,12248.27
408,3217,7737,3,31,283,1183.0,9088.92
410,11354,21354,2,45,681,1457.23,7417.2
411,7559,5139,3,27,157,97.97,12297.95
412,9944,7726,3,39,533,4418.82,14383.73
414,7807,4919,3,81,810,4869.13,13756.36
415,14764,24764,1,84,979,2649.29,6518.93
416,3149,3939,3,88,769,797.31,5235.55
417,2208,12208,1,62,366,3741.52,9708.5
418,2699,12699,1,7,670,4862.19,9440.04
419,9678,19678,1,34,3,1255.73,19761.92
420,8468,18468,2,43,772,3320.62,13037.88
