TransactionID,CustomerID,AccountID,TransactionTypeID,BranchID,DateID,Amount,BalanceAfterTransaction
1,467,14345,1,50,1085,3779.92,19805.51
3,5636,14602,1,23,1068,1985.45,15758.11
4,12256,3236,1,38,282,3372.32,10708.56
5,2373,10481,2,96,400,306.29,12815.96
6,11874,11956,3,72,962,4637.8,4629.45
7,10554,9538,1,50,30,4671.95,12731.64
8,6357,7968,4,86,248,4376.58,17824.92
9,13144,13817,3,100,959,3981.4,13942.35
10,2347,6054,4,7,679,180.74,2156.66
11,6836,14732,4,97,611,3140.2,3716.6
12,12539,5838,3,99,221,3429.21,9460.21
13,11861,7980,1,10,320,4052.39,4599.1
14,12279,12576,1,24,983,3990.5,6133.78
15,2458,10697,3,36,994,3096.01,9661.09
17,14151,9020,2,1,773,1832.64,13504.0
18,8663,5358,1,42,395,221.7,2181.27
19,772,9056,1,56,528,1385.85,2379.63
20,13248,10878,2,31,946,4810.73,17859.27
21,12433,11736,2,77,549,455.46,8002.9
22,3303,961,2,85,658,3035.66,17318.22
23,5060,10667,3,12,314,1484.85,5810.0
24,212,9442,2,35,634,722.84,1109.18
25,12998,13016,4,25,917,1668.5,19106.35
26,12671,5188,2,57,504,3455.89,6460.26
27,6708,10263,4,66,590,4969.14,2129.76
29,11746,6223,1,83,663,1644.14,19505.78
30,10638,12788,3,29,984,3062.23,535.05
31,3316,4341,4,57,470,1460.63,13284.01
32,14071,1593,1,8,189,1721.57,14459.44
33,10527,14991,3,45,216,546.21,4547.45
34,8735,7677,2,41,1094,3999.2,4836.38
35,14515,7096,3,31,1013,4736.88,8907.09
36,9017,7070,4,43,1035,170.54,16830.31
37,9237,11701,4,16,49,123.23,9426.1
38,10037,11341,4,99,972,1431.9,11141.34
39,8823,8863,1,45,163,4022.54,19142.4
40,4115,14437,2,26,687,2072.52,14527.16
41,13657,3557,2,39,987,328.29,13494.2
42,7904,10434,4,80,335,2521.74,18178.78
43,126,1118,1,14,1094,4772.25,11320.91
44,10754,973,1,53,173,63.38,4066.41
45,3923,1371,2,99,871,3977.58,4483.18
46,7234,6924,1,22,1033,3844.54,9811.57
47,9980,580,1,86,1078,1528.21,2323.11
48,2222,12925,4,68,707,1951.96,5644.23
49,9035,6564,1,13,232,948.38,11869.82
50,3119,10392,1,57,505,2775.06,10745.31
51,6273,12739,2,64,1058,553.45,13097.2
52,6314,2423,4,92,1078,4242.23,12215.03
53,937,5761,3,8,406,2465.27,18630.01
54,11348,14446,1,1,354,1678.64,17282.92
55,8037,5409,2,82,1085,850.55,7088.0
56,14451,13244,4,58,826,931.29,17712.23
57,13211,7972,2,84,181,4761.22,2586.76
58,9992,1014,2,38,501,4129.14,7744.71
59,10631,3740,4,30,209,2639.72,13674.14
60,3045,6647,1,50,184,1358.15,5134.02
61,2370,3379,4,1,294,2954.6,2702.6
62,10126,1309,4,3,259,4471.25,3706.0
63,14324,2990,1,52,74,1369.88,2644.48
64,14920,7690,3,14,972,186.45,8615.33
65,545,14946,3,19,435,2655.91,16866.65
66,5709,5729,3,48,930,3356.83,14757.41
67,8088,14771,1,17,792,1947.1,12603.52
68,13879,9285,4,83,386,548.42,5562.92
69,13495,7743,3,76,273,3664.36,19008.67
70,4965,14983,3,78,841,3103.92,17042.48
71,5331,4211,1,19,552,4200.41,16895.96
72,7163,4927,1,65,912,3986.78,13072.15
73,2192,7420,3,40,12,3493.09,6635.38
74,5318,13952,3,43,729,4666.39,16348.46
75,9318,4214,1,6,135,4671.09,18562.86
76,7174,9993,2,19,857,1277.16,14585.35
77,7246,12104,4,54,452,2502.17,10643.85
78,6586,11064,3,60,249,1772.71,5368.94
79,1273,10314,3,47,627,4195.17,9813.6
80,13920,9269,1,20,57,1331.52,16214.57
81,6667,2177,3,35,1066,2719.96,3915.95
82,10060,6099,4,69,596,637.02,17299.87
83,1291,9307,3,86,1042,3940.73,5062.1
84,699,364,3,8,762,4117.77,19609.89
85,13559,7313,1,1,248,4507.19,16868.17
86,5276,6541,2,95,459,65.55,19708.43
87,2376,6342,1,72,853,2455.86,10739.6
88,3688,3868,2,92,811,2045.36,12624.16
89,981,5363,3,55,1013,3014.46,18936.13
90,5752,10872,4,28,519,1814.35,10389.58
91,9123,113,4,30,872,103.44,2399.43
92,13873,9776,4,10,755,3539.53,12085.02
93,3509,7389,1,88,543,1061.85,8786.92
94,28,14386,1,30,859,3841.94,10092.22
95,6460,12510,1,34,256,2701.65,17300.28
96,1486,9653,4,40,314,1736.59,15423.2
97,8730,9935,1,34,994,3744.66,9338.68
98,8002,11325,1,83,705,240.96,1208.97
99,3258,2822,4,19,700,2369.49,15185.9
100,264,1660,4,45,1009,2702.39,12085.5
102,7978,5234,1,3,38,2838.89,19309.34
103,10947,13529,1,48,1088,1035.54,7625.87
104,9687,681,3,86,259,4867.65,13804.87
105,14203,2074,1,50,596,3134.53,3966.88
106,12212,8757,3,90,378,2523.26,6022.99
107,9644,987,4,43,429,2368.16,10902.28
108,9549,14178,1,46,189,3464.79,14337.25
109,4529,101,4,19,841,847.46,3731.5
110,14374,2196,1,98,1023,678.25,10572.11
111,10539,13955,2,56,829,2396.57,18915.01
112,14447,11689,1,49,917,1746.89,17776.47
113,11602,14422,4,62,116,2078.08,6873.94
114,10313,4867,3,52,151,208.56,2066.61
115,6082,6921,4,34,461,1352.7,16551.56
116,10585,8938,2,5,12,2032.97,3913.74
117,1806,9306,2,96,330,2865.31,13669.36
118,496,5379,2,93,949,4275.19,9656.03
119,1411,6622,4,26,470,2670.24,12823.75
120,1605,6678,1,30,937,1795.67,11564.62
122,7109,7900,1,71,880,4198.73,7005.04
123,3606,1049,2,57,641,324.45,9901.7
124,3415,12980,2,25,1088,4430.39,18870.99
125,13910,9858,3,6,713,4659.98,13029.39
126,12606,52,4,82,1024,3626.08,13046.11
127,7778,13415,4,50,858,115.65,4351.54
128,10128,722,2,78,944,1334.77,13841.67
129,14606,4303,2,84,263,2365.63,17224.61
130,5758,11096,3,58,550,1287.62,13341.4
131,12476,10492,4,91,963,3569.22,6003.66
132,9227,952,4,78,1075,1865.79,12654.71
133,14580,3824,2,26,687,4390.65,15703.15
134,1054,262,4,7,1035,3097.66,19055.59
135,5501,14768,3,21,610,2233.82,17133.93
136,7498,1707,2,97,556,903.66,5182.7
137,10594,453,3,28,100,924.63,14955.07
138,177,6923,2,79,110,3414.57,12421.35
139,7003,9218,1,30,910,4791.09,1652.92
140,5281,9242,1,68,317,620.21,9634.23
141,4579,6881,3,23,533,3957.21,12119.66
142,10593,2567,4,62,665,2510.4,18898.4
143,4390,9857,4,18,782,4555.89,1440.17
